Dish_Name,Calories_100g,Protein_100g,Fat_100g,Carbs_100g,Portion_Unit,Calories_Portion
egg drop soup,26.63651466369629,12.929913520812988,13.516396522521973,1.1007238626480103,soup bowl,84.63752746582031
chinese cabbage and meat ball soup,484.30548095703125,5.210831642150879,56.57162094116211,1.4290056228637695,soup bowl,2254.248291015625
french onion soup,55.60973358154297,11.40778636932373,14.39195728302002,4.2752203941345215,soup bowl,195.69065856933594
hot and sour soup,31.513946533203125,3.1162946224212646,1.312411904335022,1.7757666110992432,soup bowl,123.84980773925781
talaumein soup,35.62731170654297,10.122030258178711,12.784790992736816,4.171391487121582,soup bowl,131.48260498046875
cold cucumber soup (thanda kheere ka soup),48.02956771850586,2.9876434803009033,1.990923285484314,4.580854415893555,soup bowl,90.1298828125
cold summer garden soup,49.18648147583008,8.571334838867188,14.081335067749023,2.645667791366577,soup bowl,151.00250244140625
chapati/roti,202.3111114501953,5.875,3.5611112117767334,35.64999771118164,chapati,72.83200073242188
plain parantha/paratha,298.30084228515625,5.055602073669434,16.858184814453125,30.69233512878418,parantha,166.3126678466797
potato parantha/paratha (aloo ka parantha/paratha),205.04238891601562,3.6979143619537354,10.220277786254883,23.920074462890625,parantha,191.4344024658203
radish parantha/paratha (mooli ka parantha/paratha),183.52423095703125,3.297506809234619,9.527800559997559,20.542415618896484,parantha,183.57928466796875
cauliflower parantha/paratha (phoolgobhi ka parantha/paratha),178.07040405273438,3.726067066192627,9.46512508392334,18.837081909179688,parantha,181.38844299316406
dal parantha/paratha,268.2444763183594,6.775821685791016,13.053577423095703,30.032482147216797,parantha,205.7345733642578
sprouted moong parantha/paratha,228.59439086914062,4.292011260986328,12.426431655883789,24.306026458740234,parantha,175.32427978515625
pea parantha/paratha (matar ka parantha/paratha),190.73114013671875,5.594754695892334,8.798940658569336,21.512731552124023,parantha,206.6826171875
keema parantha/paratha,238.086181640625,9.405674934387207,13.909818649291992,18.35640525817871,parantha,238.15760803222656
paneer parantha/paratha,262.9658203125,7.984040260314941,14.621496200561523,24.326213836669922,parantha,223.59983825683594
besan and spinach parantha/paratha (besan aur palak ka parantha/paratha),216.49209594726562,5.544742584228516,12.086648941040039,21.389270782470703,parantha,178.1224822998047
poori,737.6346435546875,1.354683756828308,77.60576629638672,8.220335960388184,poori,921.3056640625
spinach poori (palak poori),684.25439453125,1.4218518733978271,71.85770416259766,7.757184982299805,poori,923.7434692382812
methi poori,710.0203247070312,1.4534616470336914,74.6041488647461,7.981307506561279,poori,923.0264892578125
dal stuffed poori,785.162841796875,2.0753488540649414,81.68533325195312,10.137200355529785,poori,932.6478271484375
potato stuffed poori (aloo ki poori),776.7381591796875,1.5213927030563354,81.35301971435547,9.400838851928711,poori,925.8718872070312
tandoori parantha/paratha,295.37005615234375,5.079640865325928,16.512575149536133,30.7401180267334,parantha,164.42266845703125
boiled rice (uble chawal),117.18966674804688,2.6033332347869873,0.18333333730697632,25.720001220703125,plate,351.5690002441406
plain pulao,140.20791625976562,2.338649034500122,4.622068881988525,21.81610870361328,plate,431.7001647949219
mixed vegetable pulao,113.0494384765625,2.722787380218506,3.327634572982788,17.489917755126953,plate,495.6087646484375
mushroom pulao,124.28645324707031,2.5225167274475098,4.029394626617432,19.018360137939453,plate,445.4426574707031
sprouted moong pulao,112.97147369384766,2.1882078647613525,3.607832670211792,17.491247177124023,plate,460.8106384277344
paneer pulao,581.9120483398438,1.9848072528839111,59.809207916259766,8.757226943969727,plate,4875.8408203125
peanut pulao,193.2752685546875,5.3159260749816895,9.512810707092285,21.180999755859375,plate,691.732177734375
navratan pulao,261.707763671875,6.198443412780762,9.453126907348633,36.979042053222656,plate,479.1868896484375
green chickpeas pulao (choliya pulao/hare chane ka pulao),173.42837524414062,4.875859260559082,4.820158958435059,27.569656372070312,plate,620.7001342773438
mutton biryani/biriyani,190.76315307617188,7.376446723937988,7.724486827850342,22.495088577270508,plate,396.4344482421875
vegetable biryani/biriyani,174.60516357421875,3.1605417728424072,9.507964134216309,18.557273864746094,plate,526.548095703125
"lemon rice (pulihora, elumichai sadam, chitranna)",176.30288696289062,4.256220817565918,7.8798065185546875,21.622270584106445,plate,562.6882934570312
sweet rice (meethe chawal),215.41348266601562,2.095991611480713,4.565640926361084,42.59217071533203,plate,749.1326904296875
curd rice (dahi bhaat/dahi chawal/ perugu annam/daddojanam/thayir saadam),195.73703002929688,5.753233909606934,4.316627025604248,32.93044662475586,plate,423.10516357421875
tamarind rice (chintapandu pulihora/puliyodharai/puli sadam/huli anna),373.0386047363281,7.453181743621826,8.532773971557617,65.08139038085938,plate,476.8552551269531
spanish rice,164.24085998535156,4.189563274383545,2.2327356338500977,31.09807014465332,plate,357.2238464355469
chinese fried rice,120.58412170410156,4.05177116394043,5.434627056121826,13.401684761047363,plate,423.648193359375
macroni cheese pie,170.62753295898438,5.85098123550415,7.483591079711914,21.09503173828125,casserole dish,408.6529541015625
vegetable chowmein,129.71388244628906,3.066948175430298,6.358810901641846,15.444334983825684,plate,388.59686279296875
chicken chowmein,151.3335723876953,6.331267833709717,8.234783172607422,13.301461219787598,plate,521.04150390625
cheese noodle ring,133.66921997070312,6.224301815032959,6.117282867431641,13.955496788024902,plate,531.3351440429688
spaghetti and cheese balls in tomato sauce,508.322021484375,2.4087061882019043,52.08030700683594,7.815141677856445,plate,4908.3828125
penne platter,177.40061950683594,5.040764808654785,8.709636688232422,20.872121810913086,plate,463.902587890625
pasta hot pot,125.17289733886719,5.837541580200195,6.466379642486572,11.601784706115723,plate,1040.7125244140625
